time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
Arsenal,Premier League,England,2026-02-12 20:00:00,Brentford,Arsenal,Brentford x Arsenal,1 x 1,4-2-3-1,4-2-3-1,Caoimhin Kelleher | Michael Kayode | Kristoffer Ajer | Sepp van den Berg | Rico Henry | Yehor Yarmoliuk | Vitaly Janelt | Dango Ouattara | Mathias Jensen | Keane Lewis-Potter | Igor Thiago,David Raya | Jurriën Timber | Cristhian Mosquera | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Noni Madueke | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,[CASA] 90' Aaron Hickey entrou no lugar de Rico Henry | [FORA] 81' Riccardo Calafiori entrou no lugar de Piero Hincapié | [FORA] 81' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 73' Jordan Henderson entrou no lugar de Yehor Yarmoliuk | [CASA] 73' Mikkel Damsgaard entrou no lugar de Keane Lewis-Potter | [FORA] 70' Bukayo Saka entrou no lugar de Noni Madueke | [FORA] 46' Martin Ødegaard entrou no lugar de Eberechi Eze,[CASA] 71' Keane Lewis-Potter | [FORA] 61' Noni Madueke,[CASA] 71' Sepp van den Berg -> Keane Lewis-Potter | [FORA] 61' Piero Hincapié -> Noni Madueke
PSG,Ligue 1,France,2026-02-08 19:45:00,Paris Saint-Germain,Olympique de Marseille,Paris Saint-Germain x Olympique de Marseille,5 x 0,4-3-3,5-4-1,Matvey Safonov | Warren Zaïre-Emery | Marquinhos | Willian Pacho | Nuno Mendes | Senny Mayulu | Vitinha | João Neves | Désiré Doué | Ousmane Dembélé | Bradley Barcola,Jeffrey De Lange | Tim Weah | Benjamin Pavard | Leonardo Balerdi | Facundo Medina | Emerson | Ethan Nwaneri | Pierre-Emile Højbjerg | Quinten Timber | Mason Greenwood | Amine Gouiri,[FORA] 80' Bilal Nadir entrou no lugar de Mason Greenwood | [CASA] 75' Gonçalo Ramos entrou no lugar de Ousmane Dembélé | [CASA] 75' Dro Fernández entrou no lugar de Senny Mayulu | [CASA] 75' Lucas Hernández entrou no lugar de Warren Zaïre-Emery | [CASA] 68' Kang-in Lee entrou no lugar de Bradley Barcola | [CASA] 62' Khvicha Kvaratskhelia entrou no lugar de Désiré Doué | [FORA] 62' Himad Abdelli entrou no lugar de Benjamin Pavard | [FORA] 46' Igor Paixão entrou no lugar de Ethan Nwaneri,[CASA] 74' Kang-in Lee | [CASA] 66' Khvicha Kvaratskhelia | [CASA] 64' Facundo Medina | [CASA] 37' Ousmane Dembélé | [CASA] 12' Ousmane Dembélé,[CASA] 74' Senny Mayulu -> Kang-in Lee | [CASA] 66' Ousmane Dembélé -> Khvicha Kvaratskhelia | [CASA] 37' Senny Mayulu -> Ousmane Dembélé | [CASA] 12' Nuno Mendes -> Ousmane Dembélé
Arsenal,Premier League,England,2026-02-07 15:00:00,Arsenal,Sunderland,Arsenal x Sunderland,3 x 0,4-3-3,4-2-3-1,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Kai Havertz | Martín Zubimendi | Declan Rice | Noni Madueke | Gabriel Jesus | Leandro Trossard,Robin Roefs | Nordi Mukiele | Daniel Ballard | Omar Alderete | Reinildo Mandava | Noah Sadiki | Enzo Le Fée | Trai Hume | Habib Diarra | Chemsdine Talbi | Brian Brobbey,[CASA] 89' Christian Nørgaard entrou no lugar de Leandro Trossard | [FORA] 85' Nilson Angulo entrou no lugar de Trai Hume | [FORA] 85' Wilson Isidor entrou no lugar de Brian Brobbey | [FORA] 71' Lutsharel Geertruida entrou no lugar de Noah Sadiki | [CASA] 67' Eberechi Eze entrou no lugar de Kai Havertz | [CASA] 67' Piero Hincapié entrou no lugar de Riccardo Calafiori | [FORA] 64' Romaine Mundle entrou no lugar de Chemsdine Talbi | [CASA] 60' Viktor Gyökeres entrou no lugar de Gabriel Jesus | [CASA] 60' Gabriel Martinelli entrou no lugar de Noni Madueke,[CASA] 90+3' Viktor Gyökeres | [CASA] 66' Viktor Gyökeres | [CASA] 42' Martín Zubimendi,[CASA] 90+3' Gabriel Martinelli -> Viktor Gyökeres | [CASA] 66' Kai Havertz -> Viktor Gyökeres | [CASA] 42' Leandro Trossard -> Martín Zubimendi
Arsenal,EFL Cup,England,2026-02-03 20:00:00,Arsenal,Chelsea,Arsenal x Chelsea,1 x 0,4-3-3,3-5-2,Kepa Arrizabalaga | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Eberechi Eze | Martín Zubimendi | Declan Rice | Noni Madueke | Viktor Gyökeres | Gabriel Martinelli,Robert Sánchez | Wesley Fofana | Trevoh Chalobah | Jorrel Hato | Malo Gusto | Moisés Caicedo | Andrey Santos | Enzo Fernández | Marc Cucurella | Liam Delap | João Pedro,[FORA] 87' Josh Acheampong entrou no lugar de Malo Gusto | [FORA] 75' Alejandro Garnacho entrou no lugar de Andrey Santos | [CASA] 69' Leandro Trossard entrou no lugar de Noni Madueke | [CASA] 69' Kai Havertz entrou no lugar de Viktor Gyökeres | [FORA] 60' Cole Palmer entrou no lugar de Liam Delap | [FORA] 60' Estêvão entrou no lugar de Jorrel Hato,[CASA] 90+7' Kai Havertz,[CASA] 90+7' Declan Rice -> Kai Havertz
PSG,Ligue 1,France,2026-02-01 19:45:00,RC Strasbourg,Paris Saint-Germain,RC Strasbourg x Paris Saint-Germain,1 x 2,4-2-3-1,4-3-3,Mike Penders | Guéla Doué | Mamadou Sarr | Ismael Doukouré | Ben Chilwell | Samir El Mourabet | Abdoul Ouattara | Diego Moreira | Julio Enciso | Martial Godo | Joaquin Panichelli,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Ibrahim Mbaye | Senny Mayulu | Bradley Barcola,[CASA] 90' Gessime Yassine entrou no lugar de Samir El Mourabet | [CASA] 82' Samuel Amo-Ameyaw entrou no lugar de Ben Chilwell | [CASA] 72' Rafael Luis entrou no lugar de Julio Enciso | [FORA] 60' Kang-in Lee entrou no lugar de Bradley Barcola | [FORA] 59' Ousmane Dembélé entrou no lugar de Senny Mayulu | [FORA] 46' Désiré Doué entrou no lugar de Ibrahim Mbaye,[FORA] 81' Nuno Mendes | [CASA] 27' Guéla Doué | [FORA] 22' Senny Mayulu,[FORA] 81' Warren Zaïre-Emery -> Nuno Mendes | [CASA] 27' Ben Chilwell -> Guéla Doué | [FORA] 22' Bradley Barcola -> Senny Mayulu
Arsenal,Premier League,England,2026-01-31 15:00:00,Leeds United,Arsenal,Leeds United x Arsenal,0 x 4,3-4-2-1,4-2-3-1,Karl Darlow | James Justin | Joe Rodon | Pascal Struijk | Jayden Bogle | Ethan Ampadu | Ilia Gruev | Gabriel Gudmundsson | Anton Stach | Brenden Aaronson | Dominic Calvert-Lewin,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Noni Madueke | Kai Havertz | Leandro Trossard | Viktor Gyökeres,[CASA] 85' Joël Piroe entrou no lugar de Dominic Calvert-Lewin | [FORA] 81' Eberechi Eze entrou no lugar de Leandro Trossard | [CASA] 81' Wilfried Gnonto entrou no lugar de Anton Stach | [FORA] 76' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [FORA] 75' Riccardo Calafiori entrou no lugar de Piero Hincapié | [CASA] 71' Facundo Buonanotte entrou no lugar de Brenden Aaronson | [FORA] 61' Martin Ødegaard entrou no lugar de Kai Havertz | [FORA] 61' Gabriel Martinelli entrou no lugar de Noni Madueke | [CASA] 46' Noah Okafor entrou no lugar de Ilia Gruev | [CASA] 46' Sean Longstaff entrou no lugar de James Justin,[FORA] 86' Gabriel Jesus | [FORA] 69' Viktor Gyökeres | [FORA] 38' Noni Madueke | [FORA] 27' Martín Zubimendi,[FORA] 86' Martin Ødegaard -> Gabriel Jesus | [FORA] 69' Gabriel Martinelli -> Viktor Gyökeres | [FORA] 27' Noni Madueke -> Martín Zubimendi
Arsenal,UEFA Champions League,Europe,2026-01-28 20:00:00,Arsenal,Kairat Almaty,Arsenal x Kairat Almaty,3 x 2,4-3-3,3-4-3,Kepa Arrizabalaga | Ben White | Cristhian Mosquera | Riccardo Calafiori | Myles Lewis-Skelly | Kai Havertz | Christian Nørgaard | Eberechi Eze | Noni Madueke | Viktor Gyökeres | Gabriel Martinelli,Temirlan Anarbekov | Aleksandr Shirobokov | Aleksandr Martynovich | Egor Sorokin | Erkin Tapalov | Dan Glazer | Adilet Sadybekov | Luís Mata | Aleksandr Mrynskiy | Edmilson | Jorginho,[CASA] 89' Ife Ibrahim entrou no lugar de Christian Nørgaard | [FORA] 79' Ramazan Bagdat entrou no lugar de Jorginho | [CASA] 77' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [CASA] 77' Brando Bailey-Joseph entrou no lugar de Gabriel Martinelli | [FORA] 70' Lev Kurgin entrou no lugar de Luís Mata | [FORA] 70' Damir Kasabulat entrou no lugar de Dan Glazer | [FORA] 59' Ricardinho entrou no lugar de Erkin Tapalov | [FORA] 59' Valeri Gromyko entrou no lugar de Edmilson | [CASA] 46' Martin Ødegaard entrou no lugar de Kai Havertz | [CASA] 46' Piero Hincapié entrou no lugar de Riccardo Calafiori,[FORA] 90+4' Ricardinho | [CASA] 36' Gabriel Martinelli | [CASA] 15' Kai Havertz | [FORA] 7' Jorginho | [CASA] 2' Viktor Gyökeres,[FORA] 90+4' Valeri Gromyko -> Ricardinho | [CASA] 36' Viktor Gyökeres -> Gabriel Martinelli | [CASA] 15' Ben White -> Kai Havertz | [CASA] 2' Kai Havertz -> Viktor Gyökeres
PSG,UEFA Champions League,Europe,2026-01-28 20:00:00,Paris Saint-Germain,Newcastle United,Paris Saint-Germain x Newcastle United,1 x 1,4-3-3,3-4-2-1,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | João Neves | Vitinha | Warren Zaïre-Emery | Khvicha Kvaratskhelia | Ousmane Dembélé | Bradley Barcola,Nick Pope | Malick Thiaw | Sven Botman | Dan Burn | Lewis Miley | Jacob Ramsey | Sandro Tonali | Lewis Hall | Anthony Elanga | Joe Willock | Nick Woltemade,[CASA] 87' Senny Mayulu entrou no lugar de Warren Zaïre-Emery | [CASA] 87' Ibrahim Mbaye entrou no lugar de João Neves | [FORA] 79' Yoane Wissa entrou no lugar de Nick Woltemade | [CASA] 70' Gonçalo Ramos entrou no lugar de Bradley Barcola | [FORA] 68' Harvey Barnes entrou no lugar de Joe Willock | [FORA] 67' Anthony Gordon entrou no lugar de Anthony Elanga | [CASA] 22' Désiré Doué entrou no lugar de Khvicha Kvaratskhelia,[FORA] 45+2' Joe Willock | [CASA] 8' Vitinha,[FORA] 45+2' Dan Burn -> Joe Willock | [CASA] 8' Khvicha Kvaratskhelia -> Vitinha
Arsenal,Premier League,England,2026-01-25 16:30:00,Arsenal,Manchester United,Arsenal x Manchester United,2 x 3,4-3-3,4-2-3-1,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martin Ødegaard | Martín Zubimendi | Declan Rice | Bukayo Saka | Gabriel Jesus | Leandro Trossard,Senne Lammens | Diogo Dalot | Harry Maguire | Lisandro Martínez | Luke Shaw | Casemiro | Kobbie Mainoo | Amad Diallo | Bruno Fernandes | Patrick Dorgu | Bryan Mbeumo,[FORA] 88' Noussair Mazraoui entrou no lugar de Amad Diallo | [FORA] 81' Benjamin Šeško entrou no lugar de Patrick Dorgu | [CASA] 75' Noni Madueke entrou no lugar de Leandro Trossard | [FORA] 69' Matheus Cunha entrou no lugar de Bryan Mbeumo | [CASA] 58' Eberechi Eze entrou no lugar de Martín Zubimendi | [CASA] 58' Mikel Merino entrou no lugar de Martin Ødegaard | [CASA] 58' Viktor Gyökeres entrou no lugar de Gabriel Jesus | [CASA] 58' Ben White entrou no lugar de Piero Hincapié,[FORA] 87' Matheus Cunha | [CASA] 84' Mikel Merino | [FORA] 50' Patrick Dorgu | [FORA] 37' Bryan Mbeumo | [CASA] 29' Lisandro Martínez,[FORA] 87' Kobbie Mainoo -> Matheus Cunha | [FORA] 50' Bruno Fernandes -> Patrick Dorgu
PSG,Ligue 1,France,2026-01-23 19:00:00,Auxerre,Paris Saint-Germain,Auxerre x Paris Saint-Germain,0 x 1,5-4-1,4-3-3,Donovan Léon | Lamine Sy | Marvin Senaya | Sinaly Diomandé | Clement Akpa | Gideon Mensah | Naouirou Ahamada | Kévin Danois | Oussama El Azzouzi | Danny Namaso | Lassine Sinayoko,Lucas Chevalier | Warren Zaïre-Emery | Ilya Zabarnyi | Lucas Beraldo | Lucas Hernández | Ibrahim Mbaye | Vitinha | Senny Mayulu | Khvicha Kvaratskhelia | Gonçalo Ramos | Bradley Barcola,[CASA] 90' Sékou Mara entrou no lugar de Danny Namaso | [CASA] 90' Lasso Coulibaly entrou no lugar de Kévin Danois | [CASA] 85' Romain Faivre entrou no lugar de Lamine Sy | [CASA] 85' Elisha Owusu entrou no lugar de Sinaly Diomandé | [FORA] 62' Ousmane Dembélé entrou no lugar de Gonçalo Ramos | [FORA] 61' Désiré Doué entrou no lugar de Ibrahim Mbaye | [CASA] 46' Rudy Matondo entrou no lugar de Naouirou Ahamada,[FORA] 79' Bradley Barcola,[FORA] 79' Ousmane Dembélé -> Bradley Barcola
Arsenal,UEFA Champions League,Europe,2026-01-20 20:00:00,Inter,Arsenal,Inter x Arsenal,1 x 3,3-5-2,4-3-3,Yann Sommer | Manuel Akanji | Francesco Acerbi | Alessandro Bastoni | Luís Henrique | Nicolò Barella | Piotr Zieliński | Petar Sučić | Federico Dimarco | Marcus Thuram | Lautaro Martínez,David Raya | Jurriën Timber | William Saliba | Cristhian Mosquera | Myles Lewis-Skelly | Mikel Merino | Martín Zubimendi | Eberechi Eze | Bukayo Saka | Gabriel Jesus | Leandro Trossard,[CASA] 82' Andy Diouf entrou no lugar de Piotr Zieliński | [CASA] 82' Ange-Yoan Bonny entrou no lugar de Luís Henrique | [FORA] 79' Gabriel Martinelli entrou no lugar de Leandro Trossard | [FORA] 75' Gabriel Magalhães entrou no lugar de Cristhian Mosquera | [FORA] 75' Viktor Gyökeres entrou no lugar de Gabriel Jesus | [FORA] 64' Declan Rice entrou no lugar de Eberechi Eze | [FORA] 64' Ben White entrou no lugar de Jurriën Timber | [CASA] 63' Francesco Pio Esposito entrou no lugar de Lautaro Martínez | [CASA] 63' Davide Frattesi entrou no lugar de Nicolò Barella,[FORA] 84' Viktor Gyökeres | [FORA] 31' Gabriel Jesus | [CASA] 18' Petar Sučić | [FORA] 10' Gabriel Jesus,[FORA] 84' Bukayo Saka -> Viktor Gyökeres | [FORA] 10' Jurriën Timber -> Gabriel Jesus
PSG,UEFA Champions League,Europe,2026-01-20 20:00:00,Sporting CP,Paris Saint-Germain,Sporting CP x Paris Saint-Germain,2 x 1,3-4-2-1,4-3-3,Rui Silva | Iván Fresneda | Gonçalo Inácio | Matheus Reis | Geny Catamo | Hidemasa Morita | João Simões | Ricardo Mangas | Francisco Trincão | Maximiliano Araújo | Luis Javier Suárez,Lucas Chevalier | Warren Zaïre-Emery | Marquinhos | Willian Pacho | Nuno Mendes | Senny Mayulu | Vitinha | Fabián Ruiz | Désiré Doué | Ousmane Dembélé | Bradley Barcola,[CASA] 90' Giorgi Kochorashvili entrou no lugar de Francisco Trincão | [CASA] 87' Alisson Santos entrou no lugar de Geny Catamo | [CASA] 87' Daniel Bragança entrou no lugar de João Simões | [FORA] 80' Ilya Zabarnyi entrou no lugar de Fabián Ruiz | [FORA] 71' Gonçalo Ramos entrou no lugar de Bradley Barcola | [FORA] 66' Khvicha Kvaratskhelia entrou no lugar de Senny Mayulu | [CASA] 63' Georgios Vagiannidis entrou no lugar de Ricardo Mangas,[CASA] 90' Luis Javier Suárez | [FORA] 79' Khvicha Kvaratskhelia | [CASA] 74' Luis Javier Suárez,[FORA] 79' Ousmane Dembélé -> Khvicha Kvaratskhelia | [CASA] 74' Georgios Vagiannidis -> Luis Javier Suárez
Arsenal,Premier League,England,2026-01-17 17:30:00,Nottingham Forest,Arsenal,Nottingham Forest x Arsenal,0 x 0,4-2-3-1,4-3-3,Matz Sels | Ola Aina | Nikola Milenković | Murillo | Neco Williams | Ibrahim Sangaré | Elliot Anderson | Callum Hudson Odoi | Morgan Gibbs-White | Nicolás Domínguez | Igor Jesus,David Raya | Ben White | William Saliba | Gabriel Magalhães | Jurriën Timber | Martin Ødegaard | Martín Zubimendi | Declan Rice | Noni Madueke | Viktor Gyökeres | Gabriel Martinelli,[CASA] 89' Omari Hutchinson entrou no lugar de Nicolás Domínguez | [FORA] 79' Eberechi Eze entrou no lugar de Martín Zubimendi | [CASA] 76' Dan Ndoye entrou no lugar de Igor Jesus | [FORA] 57' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [FORA] 57' Mikel Merino entrou no lugar de Martin Ødegaard | [FORA] 57' Bukayo Saka entrou no lugar de Noni Madueke | [FORA] 46' Leandro Trossard entrou no lugar de Gabriel Martinelli,,
PSG,Ligue 1,France,2026-01-16 20:00:00,Paris Saint-Germain,Lille,Paris Saint-Germain x Lille,3 x 0,4-3-3,4-3-3,Lucas Chevalier | Warren Zaïre-Emery | Marquinhos | Willian Pacho | Nuno Mendes | Senny Mayulu | Vitinha | Fabián Ruiz | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,Berke Özer | Tiago Santos | Nathan Ngoy | Aïssa Mandi | Romain Perraud | Ngal'ayel Mukau | Nabil Bentaleb | Ayyoub Bouaddi | Ethan Mbappé | Olivier Giroud | Hakon Arnar Haraldsson,[FORA] 89' Félix Correia entrou no lugar de Hakon Arnar Haraldsson | [FORA] 87' Thomas Meunier entrou no lugar de Tiago Santos | [CASA] 84' Lucas Hernández entrou no lugar de Désiré Doué | [FORA] 77' Marius Broholm entrou no lugar de Ethan Mbappé | [FORA] 77' Soriba Diaoune entrou no lugar de Olivier Giroud | [FORA] 77' Osame Sahraoui entrou no lugar de Ngal'ayel Mukau | [CASA] 76' Gonçalo Ramos entrou no lugar de Ousmane Dembélé | [CASA] 63' Bradley Barcola entrou no lugar de Khvicha Kvaratskhelia | [CASA] 46' Ilya Zabarnyi entrou no lugar de Senny Mayulu,[CASA] 90+3' Bradley Barcola | [CASA] 64' Ousmane Dembélé | [CASA] 13' Ousmane Dembélé,[CASA] 64' Désiré Doué -> Ousmane Dembélé | [CASA] 13' Vitinha -> Ousmane Dembélé
Arsenal,EFL Cup,England,2026-01-14 20:00:00,Chelsea,Arsenal,Chelsea x Arsenal,2 x 3,4-2-3-1,4-3-3,Robert Sánchez | Josh Acheampong | Trevoh Chalobah | Wesley Fofana | Marc Cucurella | Andrey Santos | Enzo Fernández | Estêvão | João Pedro | Pedro Neto | Marc Guiu,Kepa Arrizabalaga | Ben White | William Saliba | Gabriel Magalhães | Jurriën Timber | Martin Ødegaard | Martín Zubimendi | Declan Rice | Bukayo Saka | Viktor Gyökeres | Leandro Trossard,[FORA] 82' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [FORA] 82' Kai Havertz entrou no lugar de Declan Rice | [CASA] 81' Tosin Adarabioyo entrou no lugar de Marc Cucurella | [CASA] 81' Shumaira Mheuka entrou no lugar de João Pedro | [CASA] 75' Jorrel Hato entrou no lugar de Wesley Fofana | [FORA] 68' Mikel Merino entrou no lugar de Martin Ødegaard | [FORA] 67' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 53' Benoît Badiashile entrou no lugar de Josh Acheampong | [CASA] 53' Alejandro Garnacho entrou no lugar de Marc Guiu,[CASA] 83' Alejandro Garnacho | [FORA] 71' Martín Zubimendi | [CASA] 57' Alejandro Garnacho | [FORA] 49' Viktor Gyökeres | [FORA] 7' Ben White,[FORA] 71' Viktor Gyökeres -> Martín Zubimendi | [CASA] 57' Pedro Neto -> Alejandro Garnacho | [FORA] 7' Declan Rice -> Ben White
PSG,Coupe de France,France,2026-01-12 20:10:00,Paris Saint-Germain,Paris FC,Paris Saint-Germain x Paris FC,0 x 1,4-3-3,5-4-1,Lucas Chevalier | Warren Zaïre-Emery | Ilya Zabarnyi | Lucas Beraldo | Willian Pacho | Senny Mayulu | Vitinha | Fabián Ruiz | Khvicha Kvaratskhelia | Gonçalo Ramos | Bradley Barcola,Obed Nkambadio | Nhoa Sangui | Moustapha Mbow | Timothée Kolodziejczak | Otávio | Tuomas Ollila | Alimami Gory | Adama Camara | Maxime López | Mathieu Cafaro | Willem Geubbels,[CASA] 65' Désiré Doué entrou no lugar de Senny Mayulu | [CASA] 64' Nuno Mendes entrou no lugar de Willian Pacho | [CASA] 64' Ousmane Dembélé entrou no lugar de Khvicha Kvaratskhelia | [FORA] 61' Luca Koleosho entrou no lugar de Mathieu Cafaro | [FORA] 46' Thibault De Smet entrou no lugar de Tuomas Ollila | [FORA] 46' Ilan Kebbal entrou no lugar de Willem Geubbels | [FORA] 40' Jonathan Ikoné entrou no lugar de Alimami Gory,[FORA] 74' Jonathan Ikoné,[FORA] 74' Ilan Kebbal -> Jonathan Ikoné
Arsenal,FA Cup,England,2026-01-11 14:00:00,Portsmouth,Arsenal,Portsmouth x Arsenal,1 x 4,4-2-3-1,4-3-3,Josef Bursik | Terry Devlin | Regan Poole | Conor Shaughnessy | Zak Swanson | Andre Dozzell | Luke Le Roux | Adrian Segečić | Conor Chaplin | Harvey Blair | Colby Bishop,Kepa Arrizabalaga | Ben White | Christian Nørgaard | Gabriel Magalhães | Myles Lewis-Skelly | Ethan Nwaneri | Mikel Merino | Eberechi Eze | Noni Madueke | Gabriel Jesus | Gabriel Martinelli,[CASA] 83' None entrou no lugar de Franco Umeh | [FORA] 82' Martín Zubimendi entrou no lugar de Gabriel Martinelli | [FORA] 76' Marli Salmon entrou no lugar de Gabriel Magalhães | [CASA] 73' Jordan Lee Williams entrou no lugar de Zak Swanson | [CASA] 73' John Swift entrou no lugar de Adrian Segečić | [FORA] 69' Jurriën Timber entrou no lugar de Ben White | [FORA] 69' Martin Ødegaard entrou no lugar de Ethan Nwaneri | [FORA] 69' Kai Havertz entrou no lugar de Gabriel Jesus | [CASA] 62' Connor Ogilvie entrou no lugar de Conor Shaughnessy | [CASA] 62' Marlon Pack entrou no lugar de Luke Le Roux | [CASA] 40' Franco Umeh entrou no lugar de Harvey Blair,[FORA] 72' Gabriel Martinelli | [FORA] 51' Gabriel Martinelli | [FORA] 25' Gabriel Martinelli | [FORA] 8' Andre Dozzell | [CASA] 3' Colby Bishop,[FORA] 72' Noni Madueke -> Gabriel Martinelli | [FORA] 51' Gabriel Jesus -> Gabriel Martinelli | [FORA] 25' Noni Madueke -> Gabriel Martinelli
Arsenal,Premier League,England,2026-01-08 20:00:00,Arsenal,Liverpool FC,Arsenal x Liverpool FC,0 x 0,4-3-3,4-2-3-1,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martin Ødegaard | Martín Zubimendi | Declan Rice | Bukayo Saka | Viktor Gyökeres | Leandro Trossard,Alisson | Conor Bradley | Ibrahima Konaté | Virgil van Dijk | Miloš Kerkez | Ryan Gravenberch | Alexis Mac Allister | Jeremie Frimpong | Dominik Szoboszlai | Cody Gakpo | Florian Wirtz,[FORA] 90' Joe Gomez entrou no lugar de Conor Bradley | [CASA] 78' Eberechi Eze entrou no lugar de Martin Ødegaard | [CASA] 78' Noni Madueke entrou no lugar de Bukayo Saka | [CASA] 64' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [CASA] 64' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 57' Myles Lewis-Skelly entrou no lugar de Piero Hincapié,,
PSG,Trophee des Champions,France,2026-01-08 18:00:00,Paris Saint-Germain,Olympique de Marseille,Paris Saint-Germain x Olympique de Marseille,6 x 3,4-3-3,3-4-2-1,Lucas Chevalier | Warren Zaïre-Emery | Marquinhos | Willian Pacho | Nuno Mendes | João Neves | Vitinha | Fabián Ruiz | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,Gerónimo Rulli | Benjamin Pavard | Leonardo Balerdi | Facundo Medina | Tim Weah | Geoffrey Kondogbia | Pierre-Emile Højbjerg | Emerson | Mason Greenwood | Igor Paixão | Amine Gouiri,[FORA] 90' Matt O'Riley entrou no lugar de Mason Greenwood | [CASA] 89' Senny Mayulu entrou no lugar de Warren Zaïre-Emery | [CASA] 89' Gonçalo Ramos entrou no lugar de Fabián Ruiz | [FORA] 77' Amir Murillo entrou no lugar de Tim Weah | [CASA] 72' Bradley Barcola entrou no lugar de Khvicha Kvaratskhelia | [FORA] 67' Hamed Junior Traorè entrou no lugar de Igor Paixão | [FORA] 67' Pierre-Emerick Aubameyang entrou no lugar de Amine Gouiri,[CASA] 90+5' Gonçalo Ramos | [FORA] 87' Willian Pacho | [FORA] 76' Mason Greenwood | [CASA] 13' Ousmane Dembélé,[CASA] 90+5' Bradley Barcola -> Gonçalo Ramos | [CASA] 13' Vitinha -> Ousmane Dembélé
PSG,Ligue 1,France,2026-01-04 19:45:00,Paris Saint-Germain,Paris FC,Paris Saint-Germain x Paris FC,2 x 1,4-3-3,5-4-1,Lucas Chevalier | Warren Zaïre-Emery | Ilya Zabarnyi | Willian Pacho | Nuno Mendes | João Neves | Vitinha | Fabián Ruiz | Désiré Doué | Ousmane Dembélé | Senny Mayulu,Kevin Trapp | Nhoa Sangui | Moustapha Mbow | Timothée Kolodziejczak | Otávio | Thibault De Smet | Jonathan Ikoné | Maxime López | Adama Camara | Alimami Gory | Willem Geubbels,[FORA] 89' Tuomas Ollila entrou no lugar de Thibault De Smet | [FORA] 89' Mohamed Benoit-Dao entrou no lugar de Adama Camara | [FORA] 89' Julien López entrou no lugar de Willem Geubbels | [CASA] 83' Noah Nsoki entrou no lugar de Senny Mayulu | [CASA] 80' Lucas Hernández entrou no lugar de Nuno Mendes | [FORA] 77' Vincent Marchetti entrou no lugar de Alimami Gory | [CASA] 70' Marquinhos entrou no lugar de Ilya Zabarnyi | [CASA] 70' Gonçalo Ramos entrou no lugar de Ousmane Dembélé | [CASA] 70' Bradley Barcola entrou no lugar de Désiré Doué | [FORA] 68' Mathieu Cafaro entrou no lugar de Jonathan Ikoné,[CASA] 53' Ousmane Dembélé | [FORA] 51' Willem Geubbels | [CASA] 45' Désiré Doué,[CASA] 53' Warren Zaïre-Emery -> Ousmane Dembélé | [CASA] 45' Fabián Ruiz -> Désiré Doué
